-3.825574750257,-3.0102367375418932;-3.0102367375418932,-2.194898724826786;-2.194898724826786,-1.3795607121116786;-1.3795607121116786,-0.5642226993965718;-0.5642226993965718,0.2511153133185351;0.2511153133185351,1.0664533260336428;1.0664533260336428,1.8817913387487497;1.8817913387487497,2.6971293514638566;2.6971293514638566,3.5124673641789634;3.5124673641789634,4.32780537689407
-2.85781119277779,-2.100866286716549;-2.100866286716549,-1.343921380655308;-1.343921380655308,-0.5869764745940671;-0.5869764745940671,0.16996843146717389;0.16996843146717389,0.9269133375284149;0.9269133375284149,1.6838582435896559;1.6838582435896559,2.440803149650897;2.440803149650897,3.197748055712138;3.197748055712138,3.954692961773379;3.954692961773379,4.71163786783462
-4.06782880157051,-3.469884184811737;-3.469884184811737,-2.871939568052964;-2.871939568052964,-2.273994951294191;-2.273994951294191,-1.676050334535418;-1.676050334535418,-1.078105717776645;-1.078105717776645,-0.4801611010178721;-0.4801611010178721,0.11778351574090085;0.11778351574090085,0.7157281324996738;0.7157281324996738,1.3136727492584468;1.3136727492584468,1.91161736601722
-5.70930273913846,-4.819799551155518;-4.819799551155518,-3.930296363172576;-3.930296363172576,-3.040793175189634;-3.040793175189634,-2.151289987206692;-2.151289987206692,-1.2617867992237501;-1.2617867992237501,-0.37228361124080855;-0.37228361124080855,0.5172195767421339;0.5172195767421339,1.4067227647250755;1.4067227647250755,2.296225952708017;2.296225952708017,3.18572914069096
-4.44055683827531,-3.800486391699896;-3.800486391699896,-3.1604159451244818;-3.1604159451244818,-2.5203454985490676;-2.5203454985490676,-1.880275051973654;-1.880275051973654,-1.2402046053982403;-1.2402046053982403,-0.6001341588228262;-0.6001341588228262,0.03993628775258795;0.03993628775258795,0.6800067343280016;0.6800067343280016,1.3200771809034153;1.3200771809034153,1.96014762747883
-3.31306168291633,-2.764516557584993;-2.764516557584993,-2.215971432253656;-2.215971432253656,-1.6674263069223192;-1.6674263069223192,-1.1188811815909823;-1.1188811815909823,-0.5703360562596451;-0.5703360562596451,-0.021790930928308416;-0.021790930928308416,0.5267541944030283;0.5267541944030283,1.0752993197343654;1.0752993197343654,1.6238444450657026;1.6238444450657026,2.17238957039704
-7.05960209612205,-5.996812334608842;-5.996812334608842,-4.934022573095634;-4.934022573095634,-3.8712328115824257;-3.8712328115824257,-2.8084430500692177;-2.8084430500692177,-1.7456532885560092;-1.7456532885560092,-0.6828635270428016;-0.6828635270428016,0.37992623447040597;0.37992623447040597,1.4427159959836144;1.4427159959836144,2.505505757496823;2.505505757496823,3.56829551901003
-3.71322894773721,-3.001233745186524;-3.001233745186524,-2.2892385426358377;-2.2892385426358377,-1.5772433400851518;-1.5772433400851518,-0.8652481375344658;-0.8652481375344658,-0.1532529349837799;-0.1532529349837799,0.5587422675669065;0.5587422675669065,1.270737470117592;1.270737470117592,1.9827326726682784;1.9827326726682784,2.6947278752189647;2.6947278752189647,3.40672307776965
-3.93941301752082,-3.263755553940095;-3.263755553940095,-2.58809809035937;-2.58809809035937,-1.9124406267786451;-1.9124406267786451,-1.23678316319792;-1.23678316319792,-0.5611256996171949;-0.5611256996171949,0.11453176396352971;0.11453176396352971,0.7901892275442548;0.7901892275442548,1.46584669112498;1.46584669112498,2.141504154705705;2.141504154705705,2.81716161828643
-3.54885600195219,-2.800960822056341;-2.800960822056341,-2.053065642160492;-2.053065642160492,-1.305170462264643;-1.305170462264643,-0.5572752823687939;-0.5572752823687939,0.19061989752705522;0.19061989752705522,0.9385150774229043;0.9385150774229043,1.6864102573187534;1.6864102573187534,2.4343054372146025;2.4343054372146025,3.1822006171104515;3.1822006171104515,3.9300957970063
-5.01359934835557,-4.2236369223803845;-4.2236369223803845,-3.433674496405198;-3.433674496405198,-2.643712070430012;-2.643712070430012,-1.853749644454826;-1.853749644454826,-1.0637872184796402;-1.0637872184796402,-0.27382479250445346;-0.27382479250445346,0.5161376334707324;0.5161376334707324,1.3061000594459182;1.3061000594459182,2.096062485421104;2.096062485421104,2.88602491139629
-4.48710962808566,-3.7491079189539853;-3.7491079189539853,-3.01110620982231;-3.01110620982231,-2.2731045006906347;-2.2731045006906347,-1.53510279155896;-1.53510279155896,-0.7971010824272851;-0.7971010824272851,-0.059099373295609325;-0.059099373295609325,0.6789023358360655;0.6789023358360655,1.4169040449677404;1.4169040449677404,2.154905754099415;2.154905754099415,2.89290746323109
-4.02294636136913,-3.342557900594584;-3.342557900594584,-2.662169439820038;-2.662169439820038,-1.9817809790454923;-1.9817809790454923,-1.301392518270946;-1.301392518270946,-0.6210040574963998;-0.6210040574963998,0.05938440327814565;0.05938440327814565,0.7397728640526919;0.7397728640526919,1.4201613248272382;1.4201613248272382,2.1005497856017845;2.1005497856017845,2.78093824637633
-4.14104763259007,-3.4160042058739224;-3.4160042058739224,-2.6909607791577757;-2.6909607791577757,-1.965917352441629;-1.965917352441629,-1.2408739257254817;-1.2408739257254817,-0.5158304990093345;-0.5158304990093345,0.20921292770681177;0.20921292770681177,0.934256354422959;0.934256354422959,1.6592997811391061;1.6592997811391061,2.3843432078552533;2.3843432078552533,3.1093866345714
